"",Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points,Next
"",1,Arsenal,0,0,0,0,0,0,0,0,Manchester City
"",2,Bournemouth,0,0,0,0,0,0,0,0,Cardiff City
"",3,Brighton and Hove Albion,0,0,0,0,0,0,0,0,Watford
"",4,Burnley,0,0,0,0,0,0,0,0,Southampton
"",5,Cardiff City,0,0,0,0,0,0,0,0,AFC Bournemouth
"",6,Chelsea,0,0,0,0,0,0,0,0,Huddersfield Town
"",7,Crystal Palace,0,0,0,0,0,0,0,0,Fulham
"",8,Everton,0,0,0,0,0,0,0,0,Wolverhampton Wanderers
"",9,Fulham,0,0,0,0,0,0,0,0,Crystal Palace
"",10,Huddersfield Town,0,0,0,0,0,0,0,0,Chelsea
"",11,Leicester City,0,0,0,0,0,0,0,0,Manchester United
"",12,Liverpool,0,0,0,0,0,0,0,0,West Ham United
"",13,Manchester City,0,0,0,0,0,0,0,0,Arsenal
"",14,Manchester United,0,0,0,0,0,0,0,0,Leicester City
"",15,Newcastle United,0,0,0,0,0,0,0,0,Tottenham Hotspur
"",16,Southampton,0,0,0,0,0,0,0,0,Burnley
"",17,Tottenham Hotspur,0,0,0,0,0,0,0,0,Newcastle United
"",18,Watford,0,0,0,0,0,0,0,0,Brighton and Hove Albion
"",19,West Ham United,0,0,0,0,0,0,0,0,Liverpool
"",20,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,Everton
